,date,underlying_price,target_expiry,days_to_expiry,call_1_secid,call_1_strike,call_1_diff,call_1_close,put_1_secid,put_1_strike,put_1_diff,put_1_close,T_years,call_iv,put_iv
0,2025-10-10,30751,2026-02-25,138,SR30750BN6D,30750,1,,SR30750BB6D,30750,1,,0.3780821917808219,,
1,2025-10-13,30639,2026-02-25,135,SR30750BN6D,30750,111,,SR30750BB6D,30750,111,,0.3698630136986301,,
2,2025-10-14,30493,2026-02-25,134,SR30500BN6D,30500,7,,SR30500BB6D,30500,7,,0.36712328767123287,,
3,2025-10-15,30504,2026-02-25,133,SR30500BN6D,30500,4,,SR30500BB6D,30500,4,,0.3643835616438356,,
4,2025-10-16,31445,2026-02-25,132,SR31500BN6D,31500,55,,SR31500BB6D,31500,55,,0.36164383561643837,,
5,2025-10-17,32256,2026-02-25,131,SR32250BN6D,32250,6,,SR32250BB6D,32250,6,,0.3589041095890411,,
6,2025-10-20,32584,2026-02-25,128,SR32500BN6D,32500,84,,SR32500BB6D,32500,84,,0.3506849315068493,,
7,2025-10-21,31484,2026-02-25,127,SR31500BN6D,31500,16,,SR31500BB6D,31500,16,,0.34794520547945207,,
8,2025-10-22,31512,2026-02-25,126,SR31500BN6D,31500,12,,SR31500BB6D,31500,12,,0.3452054794520548,,
9,2025-10-23,31190,2026-02-25,125,SR31250BN6D,31250,60,,SR31250BB6D,31250,60,,0.3424657534246575,,
10,2025-10-24,30690,2026-02-25,124,SR30750BN6D,30750,60,,SR30750BB6D,30750,60,,0.33972602739726027,,
11,2025-10-27,30378,2026-02-25,121,SR30500BN6D,30500,122,,SR30500BB6D,30500,122,,0.3315068493150685,,
12,2025-10-28,30846,2026-02-25,120,SR30750BN6D,30750,96,,SR30750BB6D,30750,96,,0.3287671232876712,,
13,2025-10-29,31060,2026-02-25,119,SR31000BN6D,31000,60,,SR31000BB6D,31000,60,,0.32602739726027397,,
14,2025-10-30,31546,2026-02-25,118,SR31500BN6D,31500,46,,SR31500BB6D,31500,46,,0.3232876712328767,,
15,2025-10-31,31118,2026-02-25,117,SR31000BN6D,31000,118,,SR31000BB6D,31000,118,,0.32054794520547947,,
16,2025-11-01,31255,2026-02-25,116,SR31250BN6D,31250,5,,SR31250BB6D,31250,5,,0.3178082191780822,,
17,2025-11-03,31593,2026-02-25,114,SR31500BN6D,31500,93,,SR31500BB6D,31500,93,,0.31232876712328766,,
18,2025-11-05,31291,2026-02-25,112,SR31250BN6D,31250,41,,SR31250BB6D,31250,41,,0.30684931506849317,,
19,2025-11-06,31207,2026-02-25,111,SR31250BN6D,31250,43,,SR31250BB6D,31250,43,,0.3041095890410959,,
20,2025-11-07,31470,2026-02-25,110,SR31500BN6D,31500,30,,SR31500BB6D,31500,30,,0.3013698630136986,,
21,2025-11-10,31719,2026-02-25,107,SR31750BN6D,31750,31,,SR31750BB6D,31750,31,,0.29315068493150687,,
22,2025-11-11,31808,2026-02-25,106,SR31750BN6D,31750,58,,SR31750BB6D,31750,58,,0.29041095890410956,,
23,2025-11-12,31487,2026-02-25,105,SR31500BN6D,31500,13,,SR31500BB6D,31500,13,,0.2876712328767123,,
24,2025-11-13,31608,2026-02-25,104,SR31500BN6D,31500,108,,SR31500BB6D,31500,108,,0.28493150684931506,,
25,2025-11-14,31397,2026-02-25,103,SR31500BN6D,31500,103,,SR31500BB6D,31500,103,,0.2821917808219178,,
26,2025-11-17,31260,2026-02-25,100,SR31250BN6D,31250,10,,SR31250BB6D,31250,10,,0.273972602739726,,
27,2025-11-18,31674,2026-02-25,99,SR31750BN6D,31750,76,,SR31750BB6D,31750,76,,0.27123287671232876,,
28,2025-11-19,32241,2026-02-25,98,SR32250BN6D,32250,9,,SR32250BB6D,32250,9,,0.2684931506849315,,
29,2025-11-20,31911,2026-02-25,97,SR32000BN6D,32000,89,,SR32000BB6D,32000,89,,0.26575342465753427,,
30,2025-11-21,32394,2026-02-25,96,SR32500BN6D,32500,106,,SR32500BB6D,32500,106,,0.26301369863013696,,
31,2025-11-24,32077,2026-02-25,93,SR32000BN6D,32000,77,,SR32000BB6D,32000,77,,0.2547945205479452,,
32,2025-11-25,32291,2026-02-25,92,SR32250BN6D,32250,41,,SR32250BB6D,32250,41,,0.25205479452054796,,
33,2025-11-26,31999,2026-02-25,91,SR32000BN6D,32000,1,,SR32000BB6D,32000,1,,0.2493150684931507,,
34,2025-11-27,31510,2026-02-25,90,SR31500BN6D,31500,10,,SR31500BB6D,31500,10,,0.2465753424657534,,
35,2025-11-28,31925,2026-02-25,89,SR32000BN6D,32000,75,,SR32000BB6D,32000,75,,0.24383561643835616,,
36,2025-12-01,32024,2026-02-25,86,SR32000BN6D,32000,24,,SR32000BB6D,32000,24,,0.2356164383561644,,
37,2025-12-02,31780,2026-02-25,85,SR31750BN6D,31750,30,,SR31750BB6D,31750,30,,0.2328767123287671,,
38,2025-12-03,31811,2026-02-25,84,SR31750BN6D,31750,61,,SR31750BB6D,31750,61,,0.23013698630136986,,
39,2025-12-04,31643,2026-02-25,83,SR31750BN6D,31750,107,,SR31750BB6D,31750,107,,0.2273972602739726,,
40,2025-12-05,32111,2026-02-25,82,SR32000BN6D,32000,111,,SR32000BB6D,32000,111,,0.22465753424657534,,
41,2025-12-08,31942,2026-02-25,79,SR32000BN6D,32000,58,,SR32000BB6D,32000,58,,0.21643835616438356,,
42,2025-12-09,31927,2026-02-25,78,SR32000BN6D,32000,73,,SR32000BB6D,32000,73,,0.2136986301369863,,
43,2025-12-10,32064,2026-02-25,77,SR32000BN6D,32000,64,,SR32000BB6D,32000,64,,0.21095890410958903,,
44,2025-12-11,31976,2026-02-25,76,SR32000BN6D,32000,24,,SR32000BB6D,32000,24,,0.20821917808219179,,
45,2025-12-12,31823,2026-02-25,75,SR31750BN6D,31750,73,,SR31750BB6D,31750,73,,0.2054794520547945,,
46,2025-12-15,31842,2026-02-25,72,SR31750BN6D,31750,92,,SR31750BB6D,31750,92,,0.19726027397260273,,
47,2025-12-16,31817,2026-02-25,71,SR31750BN6D,31750,67,,SR31750BB6D,31750,67,,0.19452054794520549,,
48,2025-12-17,31639,2026-02-25,70,SR31750BN6D,31750,111,,SR31750BB6D,31750,111,,0.1917808219178082,,
49,2025-12-18,31290,2026-02-25,69,SR31250BN6D,31250,40,,SR31250BB6D,31250,40,,0.18904109589041096,,
50,2025-12-19,31158,2026-02-25,68,SR31250BN6D,31250,92,,SR31250BB6D,31250,92,,0.1863013698630137,,
51,2025-12-22,30989,2026-02-25,65,SR31000BN6D,31000,11,,SR31000BB6D,31000,11,,0.1780821917808219,,
52,2025-12-23,31322,2026-02-25,64,SR31250BN6D,31250,72,,SR31250BB6D,31250,72,,0.17534246575342466,,
53,2025-12-24,31397,2026-02-25,63,SR31500BN6D,31500,103,,SR31500BB6D,31500,103,,0.1726027397260274,,
54,2025-12-25,31226,2026-02-25,62,SR31250BN6D,31250,24,,SR31250BB6D,31250,24,,0.16986301369863013,,
55,2025-12-26,31353,2026-02-25,61,SR31250BN6D,31250,103,,SR31250BB6D,31250,103,,0.16712328767123288,,
56,2025-12-29,30942,2026-02-25,58,SR31000BN6D,31000,58,,SR31000BB6D,31000,58,,0.1589041095890411,,
57,2025-12-30,31094,2026-02-25,57,SR31000BN6D,31000,94,,SR31000BB6D,31000,94,,0.15616438356164383,,
58,2026-01-05,30939,2026-02-25,51,SR31000BN6D,31000,61,,SR31000BB6D,31000,61,,0.13972602739726028,,
59,2026-01-06,30900,2026-02-25,50,SR31000BN6D,31000,100,,SR31000BB6D,31000,100,,0.136986301369863,,
60,2026-01-08,30809,2026-02-25,48,SR30750BN6D,30750,59,,SR30750BB6D,30750,59,,0.13150684931506848,,
61,2026-01-09,30890,2026-02-25,47,SR31000BN6D,31000,110,,SR31000BB6D,31000,110,,0.12876712328767123,,
62,2026-01-12,30880,2026-02-25,44,SR31000BN6D,31000,120,,SR31000BB6D,31000,120,,0.12054794520547946,,
63,2026-01-13,30596,2026-02-25,43,SR30500BN6D,30500,96,,SR30500BB6D,30500,96,,0.1178082191780822,,
64,2026-01-14,30794,2026-02-25,42,SR30750BN6D,30750,44,,SR30750BB6D,30750,44,,0.11506849315068493,,
65,2026-01-15,30678,2026-02-25,41,SR30750BN6D,30750,72,,SR30750BB6D,30750,72,,0.11232876712328767,,
66,2026-01-16,31060,2026-02-25,40,SR31000BN6D,31000,60,,SR31000BB6D,31000,60,,0.1095890410958904,,
67,2026-01-19,31278,2026-02-25,37,SR31250BN6D,31250,28,,SR31250BB6D,31250,28,,0.10136986301369863,,
68,2026-01-20,31272,2026-02-25,36,SR31250BN6D,31250,22,,SR31250BB6D,31250,22,,0.09863013698630137,,
69,2026-01-21,31455,2026-02-25,35,SR31500BN6D,31500,45,,SR31500BB6D,31500,45,,0.0958904109589041,,
70,2026-01-22,31453,2026-02-25,34,SR31500BN6D,31500,47,,SR31500BB6D,31500,47,,0.09315068493150686,,
71,2026-01-23,31474,2026-02-25,33,SR31500BN6D,31500,26,,SR31500BB6D,31500,26,,0.09041095890410959,,
72,2026-01-26,31051,2026-02-25,30,SR31000BN6D,31000,51,,SR31000BB6D,31000,51,,0.0821917808219178,,
73,2026-01-27,31241,2026-02-25,29,SR31250BN6D,31250,9,,SR31250BB6D,31250,9,,0.07945205479452055,,
74,2026-01-28,31149,2026-02-25,28,SR31250BN6D,31250,101,,SR31250BB6D,31250,101,,0.07671232876712329,,
75,2026-01-29,31522,2026-02-25,27,SR31500BN6D,31500,22,,SR31500BB6D,31500,22,,0.07397260273972603,,
76,2026-01-30,31181,2026-02-25,26,SR31250BN6D,31250,69,,SR31250BB6D,31250,69,,0.07123287671232877,,
77,2026-02-02,30932,2026-02-25,23,SR31000BN6D,31000,68,,SR31000BB6D,31000,68,,0.06301369863013699,,
78,2026-02-03,31054,2026-02-25,22,SR31000BN6D,31000,54,,SR31000BB6D,31000,54,,0.06027397260273973,,
79,2026-02-04,31058,2026-02-25,21,SR31000BN6D,31000,58,,SR31000BB6D,31000,58,,0.057534246575342465,,
80,2026-02-05,30680,2026-02-25,20,SR30750BN6D,30750,70,,SR30750BB6D,30750,70,,0.0547945205479452,,
81,2026-02-06,30590,2026-02-25,19,SR30500BN6D,30500,90,,SR30500BB6D,30500,90,,0.052054794520547946,,
82,2026-02-09,30730,2026-02-25,16,SR30750BN6D,30750,20,,SR30750BB6D,30750,20,,0.043835616438356165,,
83,2026-02-10,30823,2026-02-25,15,SR30750BN6D,30750,73,,SR30750BB6D,30750,73,,0.0410958904109589,,
84,2026-02-11,31055,2026-02-25,14,SR31000BN6D,31000,55,,SR31000BB6D,31000,55,,0.038356164383561646,,
